Code,Replicate block,Chamber,Status,CO2 prod uL/min,Act,Mass,Age,Date
v1,i,1,v,1.16E-01,0.55,4.02,11,dayA
v2,i,3,v,8.26E-02,0.25,2.89,11,dayA
v3,i,5,v,9.84E-02,0.4,3.01,11,dayA
v4,i,7,v,4.99E-02,0.15,3.74,11,dayA
v5,i,9,v,3.88E-02,0.24,3.09,11,dayA
v6,i,11,v,6.78E-02,0.11,2.81,11,dayA
v7,i,13,v,7.03E-02,8.51E-02,3.06,11,dayA
v8,ii,2,v,NA,9.12E-02,2.1,11,dayA
v9,ii,4,v,5.64E-02,0.16,2.74,11,dayA
v10,ii,6,v,7.56E-02,0.28,3.21,11,dayA
v11,ii,8,v,6.58E-02,0.23,3.2,11,dayA
v12,ii,10,v,4.79E-02,5.57E-02,2.6,11,dayA
v13,ii,12,v,5.23E-02,0.11,2.93,11,dayA
v14,ii,14,v,8.15E-02,0.21,2.98,11,dayA
v15,iii,1,v,1.16E-01,0.19,3,11,dayA
v16,iii,3,v,1.13E-01,8.37E-02,3.43,11,dayA
v17,iii,5,v,5.40E-02,5.73E-02,3.23,11,dayA
v18,iii,7,v,6.93E-02,0.14,2.81,11,dayA
v19,iii,9,v,5.24E-02,4.84E-02,3.43,11,dayA
v20,iii,11,v,5.68E-02,4.95E-02,2.92,11,dayA
v21,iii,13,v,4.63E-02,0.11,3.1,11,dayA
v22,iv,2,v,8.23E-02,0.06,3.14,17,dayB
v23,iv,4,v,9.45E-02,0.14,3.08,17,dayB
v24,iv,6,v,8.42E-02,0.16,3.33,17,dayB
v25,iv,8,v,NA,5.61E-02,2.87,17,dayB
v26,iv,10,v,9.50E-02,0.21,3.55,17,dayB
v27,iv,12,v,6.34E-02,5.40E-02,3.66,17,dayB
v28,iv,14,v,6.89E-02,7.81E-02,3.1,17,dayB
v29,five,1,v,1.45E-01,0.35,3.3,17,dayB
v30,five,3,v,1.21E-01,0.23,3.52,17,dayB
v31,five,5,v,1.08E-01,9.91E-02,3.65,17,dayB
v32,five,7,v,8.65E-02,0.13,3.35,17,dayB
v33,five,9,v,6.22E-02,5.36E-02,3.41,17,dayB
v34,five,11,v,9.09E-02,0.26,3.71,17,dayB
v35,five,13,v,8.23E-02,0.19,3.52,17,dayB
m1,i,2,m,NA,0.23,3.14,11,dayA
m2,i,4,m,4.63E-02,0.2,2.78,11,dayA
m3,i,6,m,7.21E-02,0.19,2.73,11,dayA
m4,i,8,m,7.38E-02,0.11,2.79,11,dayA
m5,i,10,m,5.70E-02,8.23E-02,2.6,11,dayA
m6,i,12,m,6.80E-02,0.12,2.67,11,dayA
m7,i,14,m,1.15E-01,0.61,3.49,11,dayA
m8,ii,1,m,1.57E-01,0.25,2.68,11,dayA
m9,ii,3,m,7.42E-02,0.38,2.85,11,dayA
m10,ii,5,m,7.96E-02,0.31,3.16,11,dayA
m11,ii,7,m,7.62E-02,0.27,3.04,11,dayA
m12,ii,9,m,7.32E-02,0.12,3.11,11,dayA
m13,ii,11,m,6.41E-02,0.15,2.8,11,dayA
m14,ii,13,m,9.19E-02,6.58E-02,2.31,11,dayA
m15,iii,2,m,NA,1.82E-02,2.86,11,dayA
m16,iii,4,m,7.14E-02,4.19E-02,2.61,11,dayA
m17,iii,6,m,8.37E-02,0.24,3.08,11,dayA
m18,iii,8,m,4.44E-02,1.50E-02,3.02,11,dayA
m19,iii,10,m,9.21E-02,0.19,3.13,11,dayA
m20,iii,12,m,5.86E-02,0.05,2.81,11,dayA
m21,iii,14,m,5.82E-02,3.33E-02,2.78,11,dayA
m22,iv,1,m,1.61E-01,7.73E-02,3.62,17,dayB
m23,iv,3,m,1.24E-01,0.2,2.82,17,dayB
m24,iv,5,m,5.91E-02,3.45E-02,2.33,17,dayB
m25,iv,7,m,9.46E-02,0.3,2.9,17,dayB
m26,iv,9,m,8.76E-02,4.94E-02,2.88,17,dayB
m27,iv,11,m,1.39E-01,0.2,2.78,17,dayB
m28,iv,13,m,6.45E-02,5.95E-02,2.87,17,dayB
m29,five,2,m,NA,0.16,3.55,17,dayB
m30,five,4,m,6.07E-02,2.56E-02,3.08,17,dayB
m31,five,6,m,5.71E-02,0.11,2.7,17,dayB
m32,five,8,m,NA,0.18,3.04,17,dayB
m33,five,10,m,9.95E-02,0.14,3.31,17,dayB
m34,five,12,m,5.40E-02,0.16,2.43,17,dayB
m35,five,14,m,6.20E-02,0.11,3.14,17,dayB