Treatment,Virginity_Status,CO2
Unexposed,Virgin,6.48E-02
Unexposed,Virgin,4.19E-02
Unexposed,Virgin,1.02E-02
Unexposed,Virgin,2.05E-02
Unexposed,Virgin,2.40E-02
Unexposed,Virgin,5.72E-02
Unexposed,Virgin,1.19E-02
Unexposed,Virgin,3.94E-02
Unexposed,Virgin,4.19E-02
Unexposed,Virgin,2.61E-02
Unexposed,Virgin,4.19E-02
Unexposed,Virgin,3.12E-02
Unexposed,Virgin,2.93E-02
Unexposed,Virgin,3.71E-02
Unexposed,Virgin,6.80E-02
Unexposed,Virgin,6.01E-02
Unexposed,Virgin,5.95E-02
Unexposed,Virgin,2.18E-02
Unexposed,Virgin,4.02E-02
Unexposed,Virgin,4.29E-02
Unexposed,Virgin,3.56E-02
Unexposed,Virgin,8.49E-02
Unexposed,Virgin,7.17E-02
Unexposed,Virgin,5.94E-02
Unexposed,Virgin,5.06E-02
Unexposed,Virgin,5.72E-02
Unexposed,Virgin,5.62E-02
Unexposed,Virgin,5.25E-02
Unexposed,Mated,9.62E-02
Unexposed,Mated,2.40E-02
Unexposed,Mated,1.20E-02
Unexposed,Mated,NA
Unexposed,Mated,2.62E-02
Unexposed,Mated,5.54E-02
Unexposed,Mated,9.21E-03
Unexposed,Mated,6.45E-02
Unexposed,Mated,4.82E-02
Unexposed,Mated,5.65E-02
Unexposed,Mated,6.34E-02
Unexposed,Mated,7.63E-02
Unexposed,Mated,2.52E-02
Unexposed,Mated,5.91E-02
Unexposed,Mated,6.76E-02
Unexposed,Mated,4.94E-02
Unexposed,Mated,6.90E-02
Unexposed,Mated,4.66E-02
Unexposed,Mated,2.04E-02
Unexposed,Mated,3.21E-02
Unexposed,Mated,1.44E-01
Unexposed,Mated,8.63E-02
Unexposed,Mated,6.03E-02
Unexposed,Mated,4.40E-02
Unexposed,Mated,7.72E-02
Unexposed,Mated,6.46E-02
Unexposed,Mated,7.55E-02
Exposed,Virgin,1.16E-01
Exposed,Virgin,8.26E-02
Exposed,Virgin,9.84E-02
Exposed,Virgin,4.99E-02
Exposed,Virgin,3.88E-02
Exposed,Virgin,6.78E-02
Exposed,Virgin,7.03E-02
Exposed,Virgin,NA
Exposed,Virgin,5.64E-02
Exposed,Virgin,7.56E-02
Exposed,Virgin,6.58E-02
Exposed,Virgin,4.79E-02
Exposed,Virgin,5.23E-02
Exposed,Virgin,8.15E-02
Exposed,Virgin,1.16E-01
Exposed,Virgin,1.13E-01
Exposed,Virgin,5.40E-02
Exposed,Virgin,6.93E-02
Exposed,Virgin,5.24E-02
Exposed,Virgin,5.68E-02
Exposed,Virgin,4.63E-02
Exposed,Virgin,8.23E-02
Exposed,Virgin,9.45E-02
Exposed,Virgin,8.42E-02
Exposed,Virgin,NA
Exposed,Virgin,9.50E-02
Exposed,Virgin,6.34E-02
Exposed,Virgin,6.89E-02
Exposed,Virgin,1.45E-01
Exposed,Virgin,1.21E-01
Exposed,Virgin,1.08E-01
Exposed,Virgin,8.65E-02
Exposed,Virgin,6.22E-02
Exposed,Virgin,9.09E-02
Exposed,Virgin,8.23E-02
Exposed,Mated,NA
Exposed,Mated,4.63E-02
Exposed,Mated,7.21E-02
Exposed,Mated,7.38E-02
Exposed,Mated,5.70E-02
Exposed,Mated,6.80E-02
Exposed,Mated,1.15E-01
Exposed,Mated,1.57E-01
Exposed,Mated,7.42E-02
Exposed,Mated,7.96E-02
Exposed,Mated,7.62E-02
Exposed,Mated,7.32E-02
Exposed,Mated,6.41E-02
Exposed,Mated,9.19E-02
Exposed,Mated,NA
Exposed,Mated,7.14E-02
Exposed,Mated,8.37E-02
Exposed,Mated,4.44E-02
Exposed,Mated,9.21E-02
Exposed,Mated,5.86E-02
Exposed,Mated,5.82E-02
Exposed,Mated,1.61E-01
Exposed,Mated,1.24E-01
Exposed,Mated,5.91E-02
Exposed,Mated,9.46E-02
Exposed,Mated,8.76E-02
Exposed,Mated,1.39E-01
Exposed,Mated,6.45E-02
Exposed,Mated,NA
Exposed,Mated,6.07E-02
Exposed,Mated,5.71E-02
Exposed,Mated,NA
Exposed,Mated,9.95E-02
Exposed,Mated,5.40E-02
Exposed,Mated,6.20E-02