Treatment,Virginity_Status,Activity
Unexposed,Virgin,7.53E-03
Unexposed,Virgin,2.82E-03
Unexposed,Virgin,0.0134
Unexposed,Virgin,4.65E-02
Unexposed,Virgin,1.17E-02
Unexposed,Virgin,4.55E-02
Unexposed,Virgin,8.49E-02
Unexposed,Virgin,2.37E-02
Unexposed,Virgin,3.50E-02
Unexposed,Virgin,5.37E-03
Unexposed,Virgin,6.64E-03
Unexposed,Virgin,1.39E-02
Unexposed,Virgin,1.10E-02
Unexposed,Virgin,3.01E-02
Unexposed,Virgin,0.222
Unexposed,Virgin,8.17E-03
Unexposed,Virgin,4.44E-02
Unexposed,Virgin,4.30E-03
Unexposed,Virgin,5.83E-03
Unexposed,Virgin,1.65E-02
Unexposed,Virgin,1.25E-02
Unexposed,Virgin,4.66E-03
Unexposed,Virgin,3.54E-03
Unexposed,Virgin,5.13E-03
Unexposed,Virgin,1.65E-03
Unexposed,Virgin,9.61E-03
Unexposed,Virgin,1.21E-02
Unexposed,Virgin,1.50E-02
Unexposed,Mated,0.0433
Unexposed,Mated,2.22E-03
Unexposed,Mated,4.88E-03
Unexposed,Mated,8.43E-03
Unexposed,Mated,1.30E-02
Unexposed,Mated,1.44E-02
Unexposed,Mated,0.0108
Unexposed,Mated,6.64E-03
Unexposed,Mated,4.87E-03
Unexposed,Mated,2.19E-02
Unexposed,Mated,6.76E-03
Unexposed,Mated,8.20E-03
Unexposed,Mated,1.01E-02
Unexposed,Mated,1.57E-03
Unexposed,Mated,1.11E-02
Unexposed,Mated,6.35E-03
Unexposed,Mated,1.27E-02
Unexposed,Mated,1.75E-02
Unexposed,Mated,1.17E-02
Unexposed,Mated,1.88E-02
Unexposed,Mated,0.132
Unexposed,Mated,3.40E-04
Unexposed,Mated,0.0211
Unexposed,Mated,1.20E-02
Unexposed,Mated,1.35E-02
Unexposed,Mated,5.81E-02
Unexposed,Mated,6.88E-03
Exposed,Virgin,0.55
Exposed,Virgin,0.25
Exposed,Virgin,0.4
Exposed,Virgin,0.15
Exposed,Virgin,0.24
Exposed,Virgin,0.11
Exposed,Virgin,8.51E-02
Exposed,Virgin,9.12E-02
Exposed,Virgin,0.16
Exposed,Virgin,0.28
Exposed,Virgin,0.23
Exposed,Virgin,5.57E-02
Exposed,Virgin,0.11
Exposed,Virgin,0.21
Exposed,Virgin,0.19
Exposed,Virgin,8.37E-02
Exposed,Virgin,5.73E-02
Exposed,Virgin,0.14
Exposed,Virgin,4.84E-02
Exposed,Virgin,4.95E-02
Exposed,Virgin,0.11
Exposed,Virgin,0.06
Exposed,Virgin,0.14
Exposed,Virgin,0.16
Exposed,Virgin,5.61E-02
Exposed,Virgin,0.21
Exposed,Virgin,5.40E-02
Exposed,Virgin,7.81E-02
Exposed,Virgin,0.35
Exposed,Virgin,0.23
Exposed,Virgin,9.91E-02
Exposed,Virgin,0.13
Exposed,Virgin,5.36E-02
Exposed,Virgin,0.26
Exposed,Virgin,0.19
Exposed,Mated,0.23
Exposed,Mated,0.2
Exposed,Mated,0.19
Exposed,Mated,0.11
Exposed,Mated,8.23E-02
Exposed,Mated,0.12
Exposed,Mated,0.61
Exposed,Mated,0.25
Exposed,Mated,0.38
Exposed,Mated,0.31
Exposed,Mated,0.27
Exposed,Mated,0.12
Exposed,Mated,0.15
Exposed,Mated,6.58E-02
Exposed,Mated,1.82E-02
Exposed,Mated,4.19E-02
Exposed,Mated,0.24
Exposed,Mated,1.50E-02
Exposed,Mated,0.19
Exposed,Mated,0.05
Exposed,Mated,3.33E-02
Exposed,Mated,7.73E-02
Exposed,Mated,0.2
Exposed,Mated,3.45E-02
Exposed,Mated,0.3
Exposed,Mated,4.94E-02
Exposed,Mated,0.2
Exposed,Mated,5.95E-02
Exposed,Mated,0.16
Exposed,Mated,2.56E-02
Exposed,Mated,0.11
Exposed,Mated,0.18
Exposed,Mated,0.14
Exposed,Mated,0.16
Exposed,Mated,0.11