Code,chamber,Sex,Mass,CO2 prod uL/min,VCOsd,Age,Act,batch
M1,2,M,1.6,8.70E-02,4.09E-06,20,3.10E-02,One
M2,4,M,2.05,1.18E-01,8.62E-06,20,7.18E-03,One
M3,6,M,2.28,6.62E-02,2.18E-06,20,5.91E-02,One
M4,8,M,2.09,6.86E-02,2.95E-06,20,6.97E-03,One
M5,10,M,2.1,5.55E-02,3.79E-06,20,2.34E-02,One
M6,12,M,2.02,4.82E-02,3.12E-06,20,6.69E-02,One
M7,1,M,1.48,4.18E-02,3.48E-06,15,8.94E-02,Two
M8,3,M,1.82,8.53E-02,4.56E-06,15,3.23E-02,Two
M9,5,M,2.18,5.38E-02,2.38E-06,15,2.50E-02,Two
M10,7,M,2.46,6.82E-02,3.47E-06,15,6.50E-02,Two
M11,9,M,1.69,4.36E-02,3.26E-06,15,2.95E-02,Two
M12,11,M,1.66,3.21E-02,2.62E-06,15,2.23E-01,Two
M13,2,M,2.36,5.22E-02,3.07E-06,15,4.56E-03,Three
M14,4,M,3.27,7.16E-02,8.49E-06,15,9.52E-03,Three
M15,6,M,2.72,3.53E-02,4.92E-06,15,5.85E-03,Three
M16,8,M,3.46,3.94E-02,1.22E-05,15,5.77E-03,Three
M17,10,M,2.86,4.10E-02,5.04E-06,15,1.36E-02,Three
M18,12,M,3.05,3.50E-02,1.08E-05,15,2.94E-03,Three
M19,1,M,1.57,5.57E-02,3.27E-06,20,1.01E-01,Four
M20,3,M,2.13,7.48E-02,7.07E-06,20,4.78E-03,Four
M21,5,M,1.79,4.20E-02,5.48E-06,20,1.39E-02,Four
M22,7,M,1.88,5.08E-02,7.35E-06,20,1.09E-02,Four
M23,9,M,1.62,7.02E-02,4.93E-06,20,2.53E-02,Four
M24,11,M,1.65,6.15E-02,5.82E-06,20,1.93E-02,Four
M25,2,M,2.32,5.41E-02,1.29E-05,10,6.03E-02,Five
M26,4,M,2.4,5.00E-02,6.54E-06,10,4.66E-02,Five
M27,6,M,2.29,4.75E-02,3.14E-06,10,1.17E-01,Five
M28,8,M,2.51,5.02E-02,3.53E-06,10,7.71E-03,Five
M29,10,M,2.27,3.99E-02,3.88E-06,10,1.23E-01,Five
M30,12,M,2.44,3.98E-02,2.83E-06,10,5.81E-02,Five
M31,1,M,2.12,4.86E-02,4.16E-06,10,2.23E-02,Six
M32,3,M,2.56,5.21E-02,8.64E-06,10,1.06E-02,Six
M33,5,M,2.25,4.74E-03,3.96E-06,10,1.16E-02,Six
M34,7,M,2.4,7.21E-02,9.49E-06,10,3.93E-02,Six
M35,9,M,1.95,2.36E-02,2.23E-06,10,2.43E-02,Six
M36,11,M,2.18,3.45E-02,8.72E-06,10,3.70E-02,Six